DOMAIN (L0),Code,SUB DOMAIN (L1),Code,CATEGORY (L2),Code,SUBCATEGORY (L3),Code,PRODUCT TYPE (L4),Product type Enum Codes,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Image 1,Image 2,Image 3,Image 4 / Video 1,Image 5 / Video 2,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN / HSN / EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Deodorants & Antiperspirants,RET-13-12-10,Deodorant Roll Ons,RET-13-12-10-14,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Perfumes,RET-13-12-11,Eau de Toilette,RET-13-12-11-10,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Perfumes,RET-13-12-11,Eau de Parfum,RET-13-12-11-11,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Perfumes,RET-13-12-11,Eau de Cologne,RET-13-12-11-12,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Perfumes,RET-13-12-11,Perfume,RET-13-12-11-13,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Perfumes,RET-13-12-11,Attar,RET-13-12-11-14,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Perfumes,RET-13-12-11,Body Sprays & Mists,RET-13-12-11-15,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Fragrance,RET-13-12,Fragrance,RET-13-12-12,Gift Sets,RET-13-12-12-10,,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,MC,OI,OI,OI,MI,OI,OI,OI,OI,MI,OI,,,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Colour Additives & Fillers,RET-13-13-10-10,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
Retail,RET,Beauty & Personal Care,RET-13,Hair Care,RET-13-13,Hair Color,RET-13-13-10,Colour Refreshers,RET-13-13-10-11,MC,MC,MC,MC,MC,MC,MC,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,OI,OI,MI,MI,MI,MI,MI,MI,OI,,OI,OI,OI,MI,OI,OI,OI,OI,,,OI,OI,,,,,,,,,,,,
