DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Beauty & Personal Care,Fragrance,Perfumes,Eau de Parfum,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Eau de Cologne,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Perfume,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Attar,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Body Sprays & Mists,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Fragrance,Gift Sets,Perfume Set for Men,Perfume Set for Women,Perfume Set for Party,Perfume Set for Evening,Perfume Set for Work,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Colour Additives & Fillers,Hair Growth Amla Powder,Organic Hair Growth,Natual Hair Colour Additive,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Colour Refreshers,Hair Color Refresher,Permanent Hair Color Refresher,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Developers,Hair Colour Developer Creme,Permanent Hair Colour Developer Creme,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Hair Bleach,Lightening Hair Bleach,Blonder Powder for Hair,Quick Powder Hair Bleach,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Hair Chalks,Temporary Hair Colour Chalk,Hair Highlight Chalk,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Hair Colour Removers,Hair Colour Remover Extra Strength,Cream Hair Colour Remover,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Hennas,Natural Henna,Mehndi,Organic Henna,Herbal Henna,Herbal Mehndi,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Hair Mascaras & Root Touch Ups,Hair Shading Pen,Hair Shadow,Hair Shadow Quick Touch Up,Cover Thining Hair,Grey Root Touch Up,Hair Concealer,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Hair Colouring Tools,Hair Dye Gloves,Hair Tinting Bowl,Hair Dye Brush,Hair Colouring Cape,Hair Dye Tools,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Highlight Kits,Highlights Kit for Men,Highlight Kit for Women,Highlight Kit for Men & Women,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Permanent Colour,Permanent Hair Colour,Lon Lasting Hair Colour,Creme Gloss Hair Colour,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Color,Semi-Permanent Colour,Semi Permanent Hair Colour,Semi Permanent Gloss Hair Colour,Natural Semi Permanent Colour,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Oils,Hair Oils,Coconut Hair Oil,Jasmine Hair Oil,Almond Hair Oil,Onion Hair Oil,Growth & Hair Fall Control,Non Sticky Hair Oil,Ayurvedic Hair Oil,Anti Dandruff Hair Oil,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Masks & Packs,Hair Masks & Packs,Repair Hair Masks,Hair Masks with Gold Quinoa,Keratin Hair Mask,Smoothening Hair Mask,Damage Repair Hair Mask,Strengthening Hair Mask,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Cutting Tools,Hair Clippers & Accessories,Hair Clips,Hair Accessories,Hair Plastic Clips,Professional Hair Clipper,Hair Trimmer,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Cutting Tools,Hair Cutting Kits,Hair Trimmer,Hair Clipper,Hair Cutting Tool,Professional Hair Styling Kit,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Cutting Tools,Scissors,Hair Cutting Scissors,Razor Edge Scissors,Barber Scissors,Salon Scissors,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Cutting Tools,Shear & Razor Cases,Comb and Scissors Holster Bag,Professional Barber Set,Razor Set Case,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Extensions & Wigs,Adhesives,Wig Adhesive,Hair Wig Adhesive,Wig Adhesive Ultrahold,Hold Glue for Wigs and Systems,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Extensions & Wigs,Feather Extensions,Feather Extension Streak,Micro Beads for Feather Extension,Feather Hair Extensions Kit,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Extensions & Wigs,Hair Extensions,Straight Hair Extension,Curly Wavy Hair Extension,Natural Hair Extension,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Extensions & Wigs,Hairpieces,Human Hair Piece,Skin Wig,Thin Skin Wig,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Extensions & Wigs,Wig Head Stands,Hair Wig Head Stand,Heavy Duty Wig Head Stand,Adjustable Wig Stand,Mannequin Wig Stand,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Extensions & Wigs,Wigs,Hair Wig,Full Head Wig,Straight Hair Wig,Curl Hair Wig,Everyday Wear Wig,Synthetic Hair Wig,Natural Hair Wig,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Loss Products,Hair Regrowth Conditioners,Conditioner for Long Hair,Conditioner for Regrowth,Conditioner for Hair Fall Control,Dry Scalp Care Moisturizing Conditioner,Intense Repair Hair Conditioner,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Loss Products,Hair Regrowth Shampoos,Shampoo for Long Hair,Shampoo for Regrowth,Shampoo for Hair Fall Control,Dry Hair Moisturizing Shampoo,Intense Repair Shampoo,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Loss Products,Hair Regrowth Tonics,Tonic for Long Hair,Tonic for Regrowth,Tonic for Hair Fall Control,Dry Scalp Care Moisturizing Tonic,Intense Repair Hair Tonic,Hair Growth Vitalizer,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Loss Products,Hair Regrowth Treatments,Conditioner for Long Hair,Conditioner for Regrowth,Conditioner for Hair Fall Control,Dry Scalp Care Moisturizing Conditioner,Intense Repair Hair Conditioner,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Hair Clips,Hair Clips for Women,Hair Clips for Girls,Hair Clips Multicoloured,Hair Clips Set,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Hair Pins,Hair Pins for Women,Hair Pins for Girls,Hair Pins Multicoloured,Hair Pins Set,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Bun Shapers,Hair Bun Maker,Hair Bun Shaper,Donut Hair Bun,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Claws & Clutchers,Medium Hair Claw,Large Hair Claw,Large Hair Clutcher,Medium Hair Clutcher,Hair Clutcher Claw Clip,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Hair Comb Slides,Hair Comb Slides For Women,Wedding Flower Hair Comb Slide Clip,Hair Comb Slides for Girls,Hair Comb Slides For Multicoloured,New Tranding Hair Comb Slides ,Hair Rolling Comb,Hair Combs Slides For Juda ,Hair Accessories for Women & Girls, Elastic Combs Hair Clip Beaded,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Hair Drying Towels,Hair Drying Towel For Long Hair,Bathroom Towel ,Babies Soft Towels ,Towels For Bath,Bathing Towel,Towels For Bath Women/Men,Hand Wash Towel,Girls Towels ,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Headbands,Gym Headband for Men ,Sports Headband For Workout & Running,Best Lightweight Headband Workout,Sports Unisex Hair Band,headbands for women,Headbands For Women Stylish,Headbands For Women Stylish Latest,Badminton Sports Unisex Hair Band,,,,,,,
Retail,Beauty & Personal Care,Hair Care,"Hair Combs, Wigs & Accessories",Ponytail Holders,Ponytail Holders For Girls,Ponytail Holders For Women,Ponytail Holders For Multicoloured,Floral Hair Scarf Ponytail Holders,Hair Scarves For Ponytails,Fabric Chiffon Flower Scrunchies Ponytail Holder Hair Accessories For Women ,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Braiders,Hair Barider,Hair Roller,Hair Styler,Hair Braiding Tool,Automatic Hair Braiders,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Brushes,Paddle Hair Brush,Detangler Brush,Styling Hair Brush,Massager Brush,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Combs,Large Shampoo Comb,Combs For Women Hair Styling,Combs For Women Combo set,Hair Comb Set Combo For Women & Men,Hand Made Comb,Hairdresser Barber Combs Professional Comb,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Drying Hoods,Hair Drying Hood,Hood Hair Blow Dryer,Adjustable Hooded Dryer,Professional Bonnet Hair Dryer,Soft Bonnet Hood Hair Dryer ,Extra Large Bonnet Hair Dryer,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Hair Dryers & Accessories,Dryer Nozzle Attachment Hair Dryer,Hair Dryer Accessories Nozzle,Hair Dryer Holder,Hanging Rack Spiral Hair Styling Stand ,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Hot Air Brushes,Hot Air Blow Brush For Women,Styler Hot Air Ion Dryer Brush Suitable For Curling,Professional Hot Straightener Brush,Fast Hair Dryer Hot Air Comb,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Irons,Dry Iron With Advance Soleplate,Hair Ironing Machine For Women,Hair Ironing Machine For Women Professional,Hair Styler,Hair Straightener For Women,Suitable For All Hair Types,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Multi-Stylers,Hair Styler,Multi Styling Kit Hair Styler,Women Hair Styler Multi Fashion,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Rollers,Rollers For Curling Hair Machine,Hair Curling Rollers,Hot Rollers For Curling Hair,Hot Rollers For Hair Styling,Hair Rollers For Hair Curling,Self Grip Holding Jumbo Hair Rollers,Multi Sized Roller Set,Hair Rollers For Small Size,Hair Rollers For Women ,Hair Rollers For Girls,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling Tools,Thermal Styling Gloves,Heat Resistant Gloves, Hot Hair Styling Curling Iron Wand,Heat Resistant Glove With Silicone Bumps,Heat Proof Glove Mitts for Hair Styling,Professional Heat Proof Glove,Thermal Gloves And Cap Combo,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Care Sets,Hair Care Sets,Hair Care Kit,Hair Care Set for Complete Care,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Perms & Texturizers,Chemical Hair Dyes,Hair Colour,Permanent Hair Colour,Hair Colour Natural Black,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Perms & Texturizers,Hair Relaxers,Hair Relaxer Regular,Hair Relaxer Mild,Hair Relaxer Kit,Hair Relaxer for Colour Treated Hair,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Perms & Texturizers,Home Perm Kits,Semi Permanent Hair Color,Professional Hair Cutting Cape,Hair Cutting Accessories,Hair Dye Kit,Hair Cutting Barber Cutting Kit,Hair Styler,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Perms & Texturizers,Perm Accessories,Hair Roller Perm Rod Accessory,Perm Hairdressing Salon Accessory For Professional Use Home Use,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Scalp Treatments,Scalp Treatments,"Scalp Care
","Hair Loss Treatment for Men & Women
",Reduces Hair Loss And Stimulates Hair Growth,,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Shampoos & Conditioners,2-in-1 Shampoo & Conditioner,Strengthening Hair Shampoo,Anti Dandruff Hair Shampoo,Shampoo for Long Hair,Shampoo for Regrowth,Shampoo for Hair Fall Control,Dry Hair Moisturizing Shampoo,Intense Repair Shampoo,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Shampoos & Conditioners,"3-in-1 Shampoo, Conditioner & Body Wash",Body Wash 3 in 1,Body Wash & Shower Gel,Body Wash & Shower Gel for Men,Body Wash & Shower Gel for Women,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Shampoos & Conditioners,Shampoos,Strengthening Hair Shampoo,Anti Dandruff Hair Shampoo,Shampoo for Long Hair,Shampoo for Regrowth,Shampoo for Hair Fall Control,Dry Hair Moisturizing Shampoo,Intense Repair Shampoo,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Shampoos & Conditioners,Deep Conditioners & Treatments,Deep Conditioner,Hair Deep Conditioners & treatments,All Hair Types Conditioners ,Deep Conditioner For Curly Hair,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Shampoos & Conditioners,Conditioners,Conditioner For Damaged And Weak Hair,Repair & Shine Conditioners,Advanced Hair Fall Solution Anti Hair Fall Conditioner,Hair Fall Conditioner,Hair Fall Conditioner For Womens,Hair Fall Conditioner For Mens,Hair Fall Conditioner For Girls,Hair Fall Conditioner For Boys,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Shampoos & Conditioners,Dry Shampoos & Conditioners,Dry Shampoos & Conditioners For Dry Hair,Dry Shampoos & Conditioners For Women,Dry Shampoos & Conditioners For Girls,Dry Shampoos & Conditioners For Men,Professionnel Absolut Repair Shampoo With Protein ,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,"Creams, Gels & Lotions",Hair Cream After Shower,Hair Cream Anti Dandruff,Non Sticky Hair Cream,Non Sticky Hair Gel,Strong Hold Hair Gel,Mild Hold Hair Gel,Hair Fall Control Cream,Anti Dandruff Hair Cream,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Hair Sprays & Mists,Hair Spray for Extreme Hold,Mist Texture Hair Styling Spray,Mist Smooth Hair Styling Spray,Mist Spray for Women,Women Mist Spray for Curl & Frizzy Hair,Mist Spray for Dry Hair,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Detanglers,Wet Detangler Hairbrush,Detangler Brush,Raspberry Rouge,Hair Detangler For Kids ,Men Hair Brush Soft Hair Brush,Best Brush Hair Combs Women,Detanglers For Hair,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Hair Serums,Hair Serums For Women,Hair Growth Serums For Women,Protection and Shine,Hair Serums For Frizzy Hair,,,,,,,,,,,
Retail,Beauty & Personal Care,Hair Care,Hair Styling,Mousses,Natural Hair Wave Whip Curling Mousse,Hair Styling Mousses,Professional Haircare Volume Mousse,All-Over Volumizing Mousse,For All Hair Types,,,,,,,,,,
