DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Kid's Footwear,Girl's Footwear,Flip-Flops & Flats,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Sandals & Floaters,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Formal Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Sports Shoes,Sports Shoes For Men,Sports Shoes For Women,Sports Shoes For Girls,Sports Shoes For Boys,Sports Shoes For Gym Workout Men,Running Shoes Men,Running Shoes,Gym Shoes,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,School Shoes,School Shoes For Boys,School Shoes Black,Black School Shoes For Boys,White School Shoes Girls,Uniform Dress Shoe,Unisex School Shoes,Kids School Shoes,,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Ethnic Shoes,Party Wear Shoes,Back Open Jutis,Mojaris For Men,Jutis For Men,Sharwani Wedding Mojari,Ethnic Shoes,Casual Shoes For Boys,Shoes For Men,Shoes For Boys,Baby Shoes,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Heels,Heels For Women,Heels For Women Catwalk,Heels Black,Heels For Girls,Heels For Men,Heels Shoes For Women,Heels Sandals,Heels For Women Party Wear,Wedding Heels For Women,Wedding Heels For Girls,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Socks,Socks Women,Socks For Men,Sock Kids,Socks For Girls,Socks For Men Ankle Length,Socks Stand,Winter Socks For Women,Calf Length Socks,Winter Wear Socks,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Rompers & Body Suits,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Winter Wear,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,"Shirts, T-Shirts & Tops",,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,"Frocks, Dresses & Skirts",,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Infant-Jeans & Pants,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Trousers,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Shorts & Skirts,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Leggings & Pajamas,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Sweatshirt & Jackets,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Swimwear,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Clothing Sets,Lightweight Sweater,Warm Clothes,Baby Boy Clothes,Unisex Winter Clothing Sets,Winter Clothing Set,Pajama Pant Clothing Set,Trouser Set,Baby Clothing Set,Socks For New Born Baby,Girls Regular Fit Clothing Set,Girls Solid Tracksuit Set,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,Ethnic Wear,,,,,,,,,,,,,,,
Retail,Fashion,Infants Apparel,Infant's Wear,"Shoes, Mittens & Booties",,,,,,,,,,,,,,,
