L3	L4	product_name	L2
Topwear	Kurtas & Kurta Sets	Men Cream-Coloured & Blue Bandhani Printed Pure Cotton Kurta	Men's Apparel
Topwear	Shirts	Men Blue Regular Fit Solid Sustainable Casual Denim Shirt	Men's Apparel
Topwear	Shirts	Men Black Super Slim Fit Warp Knit Smart Casual Shirt	Men's Apparel
Indian & Fusion Wear	Blouses	Chikankari Embroidered Saree Blouse	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Printed Anarkali Kurta with Palazzos & Dupatta	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Geometric Printed Pure Cotton Kurti	Women's Apparel
Indian & Fusion Wear	Sarees	Yellow & Red Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Orange & Purple Woven Design Zari Silk Blend Kanjeevaram Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Striped Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Pink Printed Straight Kurta	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Green Bandhani Printed Panelled Gotta Patti Kurti with Sharara & With Dupatta	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Blue & Red Printed Patola Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Brown & Grey Ethnic Motifs Silk Blend Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Multicoloured Set of 4 Printed Straight Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Yellow Printed Poly Georgette Floral Georgette Frilled Saree Skirt	Women's Apparel
Indian & Fusion Wear	Sarees	Yellow & Green Woven Design Silk Blend Kanjeevaram Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Brown Ethnic Motifs Yoke Design Cotton Straight Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Woven Design Zari Pure Silk Banarasi Saree	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Black And White Printed Pure Cotton Kurta with Trousers	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women White Floral Printed Pure Cotton Kurta with Trousers	Women's Apparel
Indian & Fusion Wear	Sarees	Green & Beige Zari Woven Design Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Pink Yoke Design Cotton Kurta	Women's Apparel
Indian & Fusion Wear	Ethnic Wear	Women Yellow Woven Design Silk Cotton Jamdani Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Plus Size Floral Printed Floral Kurta	Women's Apparel
Indian & Fusion Wear	Sarees	Women Mustard Sarees	Women's Apparel
Indian & Fusion Wear	Sarees	Set Of 2 Brown & Red Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Pack Of 2 Multicoloured Pure Georgette Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Ethnic Motifs Silk Blend Fusion Bottom Kurta Set	Women's Apparel
Indian & Fusion Wear	Sarees	Grey Floral Embroidered Tissue Saree	Women's Apparel
Indian & Fusion Wear	Kurtis, Tunics & Tops	Pink & Green Floral Printed Layered Organza Crop Top	Women's Apparel
Indian & Fusion Wear	Sarees	Red & Gold-Toned Striped Zari Silk Cotton Saree	Women's Apparel
Indian & Fusion Wear	Sarees	women Gold-Toned & Orange Woven Design Zari Silk Blend Banarasi Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Grey & Orange Floral Art Silk Saree	Women's Apparel
Indian & Fusion Wear	Sarees	White & Red Paisley Pure Cotton Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Woven Design Leheriya Zari Tissue Banarasi Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Brown & Blue Floral Pure Chiffon Saree	Women's Apparel
Indian & Fusion Wear	Sarees	Navy Blue & Turquoise Blue Saree	Women's Apparel
Indian & Fusion Wear	Kurtas, Kurta Sets & Suits	Women Peach & White Embroidered Pure Silk Kurta with Trousers & With Dupatta	Women's Apparel
